UserID,Gender,Age,Race,Province,Channel2,RecordDate2,Duration 2
809128,male,18,black,Gauteng,Africa Magic,2016/01/12 15:12,2025-09-24T00:03:52.000Z
809128,male,18,black,Gauteng,E! Entertainment,2016/01/12 18:44,2025-09-24T00:01:22.000Z
809128,male,18,black,Gauteng,Cartoon Network,2016/01/12 17:58,2025-09-24T00:00:33.000Z
809128,male,18,black,Gauteng,Africa Magic,2016/01/14 14:58,2025-09-24T00:30:06.000Z
809128,male,18,black,Gauteng,Trace TV,2016/03/27 20:20,2025-09-24T00:05:33.000Z
809128,male,18,black,Gauteng,Trace TV,2016/03/26 09:21,2025-09-24T00:26:18.000Z
2091688,male,34,black,Gauteng,Boomerang,2016/02/13 16:18,2025-09-24T00:00:44.000Z
764531,male,46,coloured,Limpopo,Supersport Live Events,2016/01/19 19:20,2025-09-24T00:00:50.000Z
764531,male,46,coloured,Limpopo,E! Entertainment,2016/01/19 06:38,2025-09-24T00:18:46.000Z
2414971,male,32,white,Gauteng,Boomerang,2016/01/27 23:07,2025-09-24T00:00:23.000Z
2414971,male,32,white,Gauteng,Boomerang,2016/01/27 10:52,2025-09-24T00:00:10.000Z
2414971,male,32,white,Gauteng,Supersport Live Events,2016/01/25 08:54,2025-09-24T00:01:02.000Z
2414971,male,32,white,Gauteng,Trace TV,2016/01/25 10:46,2025-09-24T00:00:30.000Z
2414971,male,32,white,Gauteng,E! Entertainment,2016/01/26 07:23,2025-09-24T00:00:22.000Z
2414971,male,32,white,Gauteng,DStv Events 1,2016/01/24 05:43,2025-09-24T00:03:05.000Z
2414971,male,32,white,Gauteng,SuperSport Blitz,2016/01/26 15:26,2025-09-24T00:00:30.000Z
2414971,male,32,white,Gauteng,E! Entertainment,2016/01/23 13:40,2025-09-24T00:00:30.000Z
2414971,male,32,white,Gauteng,Supersport Live Events,2016/01/22 22:56,2025-09-24T00:00:00.000Z
2414971,male,32,white,Gauteng,Africa Magic,2016/01/22 13:51,2025-09-24T00:00:07.000Z
2414971,male,32,white,Gauteng,Trace TV,2016/01/30 14:50,2025-09-24T00:00:33.000Z
2414971,male,32,white,Gauteng,Supersport Live Events,2016/01/26 12:56,2025-09-24T00:00:20.000Z
2414971,male,32,white,Gauteng,SuperSport Blitz,2016/02/01 17:54,2025-09-24T00:00:28.000Z
2414971,male,32,white,Gauteng,Cartoon Network,2016/02/03 12:24,2025-09-24T00:00:08.000Z
2414971,male,32,white,Gauteng,Africa Magic,2016/02/03 18:24,2025-09-24T00:00:07.000Z
820601,male,35,indian_asian,Kwazulu Natal,SawSee,2016/02/25 19:04,2025-09-24T00:00:26.000Z
820601,male,35,indian_asian,Kwazulu Natal,Supersport Live Events,2016/02/25 17:43,2025-09-24T00:00:00.000Z
820601,male,35,indian_asian,Kwazulu Natal,ICC Cricket World Cup 2011,2016/03/23 08:19,2025-09-24T00:05:04.000Z
773728,male,36,None,Gauteng,Boomerang,2016/02/06 16:28,2025-09-24T00:00:23.000Z
585831,female,33,white,Gauteng,Boomerang,2016/01/02 09:43,2025-09-24T00:01:39.000Z
608113,male,25,black,Gauteng,Cartoon Network,2016/01/08 20:35,2025-09-24T00:00:00.000Z
809183,male,44,black,Gauteng,Live on SuperSport,2016/02/08 21:32,2025-09-24T00:03:30.000Z
791497,male,34,black,Mpumalanga,M-Net,2016/01/19 18:21,2025-09-24T00:00:57.000Z
791497,male,34,black,Mpumalanga,Cartoon Network,2016/01/14 21:50,2025-09-24T00:00:02.000Z
926319,male,28,None,Limpopo,ICC Cricket World Cup 2011,2016/03/30 13:35,2025-09-24T00:08:52.000Z
926319,male,28,None,Limpopo,Africa Magic,2016/03/30 19:52,2025-09-24T00:00:19.000Z
2059372,male,33,black,Gauteng,Trace TV,2016/01/19 16:26,2025-09-24T00:00:00.000Z
615122,male,24,black,Mpumalanga,Supersport Live Events,2016/01/10 14:01,2025-09-24T00:00:40.000Z
830980,male,42,indian_asian,Kwazulu Natal,Channel O,2016/03/02 21:49,2025-09-24T00:01:12.000Z
830980,male,42,indian_asian,Kwazulu Natal,ICC Cricket World Cup 2011,2016/03/18 09:46,2025-09-24T00:32:46.000Z
830980,male,42,indian_asian,Kwazulu Natal,SuperSport Blitz,2016/03/04 13:22,2025-09-24T00:16:50.000Z
830980,male,42,indian_asian,Kwazulu Natal,E! Entertainment,2016/03/04 11:46,2025-09-24T00:00:44.000Z
830980,male,42,indian_asian,Kwazulu Natal,Channel O,2016/03/05 07:25,2025-09-24T00:03:42.000Z
830980,male,42,indian_asian,Kwazulu Natal,Africa Magic,2016/03/06 21:45,2025-09-24T00:00:04.000Z
830980,male,42,indian_asian,Kwazulu Natal,Boomerang,2016/03/06 18:12,2025-09-24T00:03:07.000Z
830980,male,42,indian_asian,Kwazulu Natal,ICC Cricket World Cup 2011,2016/03/07 13:18,2025-09-24T00:05:24.000Z
830980,male,42,indian_asian,Kwazulu Natal,ICC Cricket World Cup 2011,2016/03/25 14:05,2025-09-24T00:01:48.000Z
2285956,male,40,black,Limpopo,Channel O,2016/03/04 05:53,2025-09-24T00:00:09.000Z
