USERID;AGE;GENDER;PROVINCE;AGE_BUCKETS;RACE
809166;22;male;Eastern Cape;Youth;white
809169;46;male;Gauteng;Adults;black
809172;27;female;Mpumalanga;Youth;coloured
809173;35;male;Kwazulu Natal;Youth;black
809176;41;male;Kwazulu Natal;Adults;black
809177;37;male;Mpumalanga;Adults;black
809183;44;male;Gauteng;Adults;black
809185;0;Unknown;Unknown;Infant;Unknown
809188;13;female;Free State;Teens;black
809192;30;male;Mpumalanga;Youth;black
809197;29;male;Western Cape;Youth;coloured
809198;32;male;Mpumalanga;Youth;black
809199;35;male;Western Cape;Youth;coloured
809204;47;male;North West;Adults;black
809207;33;male;Limpopo;Youth;coloured
809209;24;male;Western Cape;Youth;Unknown
809216;47;male;Gauteng;Adults;black
809218;50;male;Western Cape;Adults;Unknown
809222;59;male;North West;Seniors;Unknown
809226;34;male;Western Cape;Youth;coloured
809228;43;male;Western Cape;Adults;coloured
809229;31;male;Western Cape;Youth;coloured
809230;39;male;Gauteng;Adults;black
809231;45;male;Gauteng;Adults;black
809245;35;male;Western Cape;Youth;coloured
809247;41;male;Eastern Cape;Adults;Unknown
809249;38;male;Kwazulu Natal;Adults;black
809251;26;male;Western Cape;Youth;Unknown
809264;24;male;Gauteng;Youth;white
809266;46;male;Free State;Adults;coloured
809278;28;female;Western Cape;Youth;black
809284;32;male;Western Cape;Youth;white
809286;35;male;Mpumalanga;Youth;white
809292;24;female;Kwazulu Natal;Youth;black
809304;49;male;Mpumalanga;Adults;black
809306;30;male;Kwazulu Natal;Youth;white
809311;30;male;Western Cape;Youth;coloured
809312;19;male;Gauteng;Teens;black
809313;53;male;Gauteng;Adults;white
809315;34;male;Free State;Youth;black
809316;29;female;Mpumalanga;Youth;black
809317;29;male;Western Cape;Youth;Unknown
809320;34;male;Western Cape;Youth;black
809321;52;female;Gauteng;Adults;black
809323;35;female;Mpumalanga;Youth;coloured
809325;15;female;Eastern Cape;Teens;black
809326;39;male;Kwazulu Natal;Adults;black
809327;43;male;Western Cape;Adults;Unknown
809330;40;male;Gauteng;Adults;black
809331;49;male;Western Cape;Adults;indian_asian
809332;26;male;Gauteng;Youth;Unknown
809333;28;male;Gauteng;Youth;black
809337;21;male;Gauteng;Youth;coloured
809338;31;male;Kwazulu Natal;Youth;black
809339;47;male;Limpopo;Adults;black
809349;47;male;Gauteng;Adults;Unknown
809360;13;male;Mpumalanga;Teens;black
809362;36;male;Gauteng;Adults;black
809364;36;male;Mpumalanga;Adults;indian_asian
809369;33;male;Western Cape;Youth;coloured
809374;25;male;Gauteng;Youth;white
809380;32;male;Free State;Youth;white
809382;24;male;Gauteng;Youth;black
809387;24;male;North West;Youth;white
809392;37;male;Western Cape;Adults;coloured
809395;20;male;Mpumalanga;Youth;coloured
809398;37;male;Western Cape;Adults;black
809401;30;male;Limpopo;Youth;indian_asian
809407;33;female;Limpopo;Youth;black
809422;59;male;Gauteng;Seniors;white
809423;30;male;Mpumalanga;Youth;white
809424;24;female;Western Cape;Youth;coloured
809432;37;male;Eastern Cape;Adults;coloured
809442;37;male;Western Cape;Adults;black
809448;20;male;Western Cape;Youth;coloured
809449;24;male;Kwazulu Natal;Youth;coloured
809450;24;male;Kwazulu Natal;Youth;black
809451;23;male;Kwazulu Natal;Youth;black
809455;37;male;North West;Adults;black
809463;36;male;Western Cape;Adults;black
809464;18;female;Mpumalanga;Teens;black
809465;29;male;Gauteng;Youth;Unknown
809467;41;female;Western Cape;Adults;black
809469;44;male;Free State;Adults;white
809484;20;male;Limpopo;Youth;black
809486;25;male;Gauteng;Youth;white
809492;27;male;Limpopo;Youth;indian_asian
809493;40;male;Kwazulu Natal;Adults;Unknown
809495;35;female;Limpopo;Youth;black
809500;28;male;Gauteng;Youth;coloured
809504;44;male;Gauteng;Adults;black
809511;35;female;Western Cape;Youth;coloured
809516;23;female;Mpumalanga;Youth;black
809528;53;male;Gauteng;Adults;white
809530;36;male;Western Cape;Adults;black
809535;59;male;Western Cape;Seniors;coloured
809536;32;male;Western Cape;Youth;coloured
809538;28;male;Kwazulu Natal;Youth;indian_asian
809542;16;male;Western Cape;Teens;white
809544;24;male;Limpopo;Youth;Unknown
809547;38;male;Gauteng;Adults;indian_asian
809549;32;male;Gauteng;Youth;black
809552;34;male;Gauteng;Youth;black
809553;25;male;Kwazulu Natal;Youth;black
809554;27;male;Kwazulu Natal;Youth;indian_asian
809556;54;male;Mpumalanga;Adults;coloured
809563;37;male;Limpopo;Adults;indian_asian
809567;29;male;Mpumalanga;Youth;indian_asian
809573;23;male;Western Cape;Youth;coloured
809576;28;male;Kwazulu Natal;Youth;indian_asian
809577;26;male;Mpumalanga;Youth;black
809578;23;female;Limpopo;Youth;black
809588;37;male;Eastern Cape;Adults;black
809589;33;female;Eastern Cape;Youth;white
809591;30;male;Gauteng;Youth;Unknown
809604;24;male;Western Cape;Youth;black
809617;56;male;Mpumalanga;Seniors;black
809633;50;male;Eastern Cape;Adults;black
809636;28;male;Mpumalanga;Youth;black
809640;52;male;Western Cape;Adults;coloured
809641;28;male;Limpopo;Youth;black
809647;39;male;Western Cape;Adults;coloured
809648;18;male;Western Cape;Teens;black
809649;32;male;Kwazulu Natal;Youth;black
809658;42;male;Western Cape;Adults;black
809666;29;male;Mpumalanga;Youth;black
809669;21;male;Free State;Youth;white
809675;60;male;Kwazulu Natal;Seniors;white
809676;23;male;Gauteng;Youth;black
809681;26;male;Mpumalanga;Youth;black
809694;38;male;Free State;Adults;black
809695;26;male;Kwazulu Natal;Youth;black
809704;26;female;Gauteng;Youth;Unknown
809707;38;male;Gauteng;Adults;black
809709;40;female;Western Cape;Adults;coloured
809715;41;male;Mpumalanga;Adults;black
809716;41;female;Gauteng;Adults;coloured
